time,density,nonezero,
71,0.4,0.42,
72,0.4,0.395,
73,0.4,0.4,
74,0.4,0.4,
75,0.4,0.47,
76,0.4,0.36,
77,0.4,0.42,
78,0.4,0.36,
79,0.4,0.355,
80,0.4,0.4,
81,0.4,0.36,
82,0.4,0.425,
83,0.4,0.405,
84,0.4,0.365,
85,0.4,0.385,
86,0.4,0.395,
87,0.4,0.44,
88,0.4,0.395,
89,0.4,0.4,
90,0.4,0.425,
91,0.4,0.385,
92,0.4,0.385,
93,0.4,0.425,
94,0.4,0.44,
95,0.4,0.39,
96,0.4,0.41,
97,0.4,0.38,
98,0.4,0.41,
99,0.4,0.385,
100,0.4,0.41,
101,0.4,0.365,
102,0.4,0.445,
103,0.4,0.385,
104,0.4,0.47,
105,0.4,0.345,
106,0.4,0.42,
107,0.4,0.39,
108,0.4,0.4,
109,0.4,0.41,
110,0.4,0.35,
111,0.4,0.34,
112,0.4,0.35,
113,0.4,0.37,
114,0.4,0.38,
115,0.4,0.37,
116,0.4,0.405,
117,0.4,0.46,
118,0.4,0.44,
119,0.4,0.37,
120,0.4,0.4,
121,0.4,0.345,
122,0.4,0.38,
123,0.4,0.4,
124,0.4,0.44,
125,0.4,0.39,
126,0.4,0.43,
127,0.4,0.36,
128,0.4,0.345,
129,0.4,0.37,
130,0.4,0.42,
131,0.4,0.43,
132,0.4,0.445,
133,0.4,0.43,
134,0.4,0.365,
135,0.4,0.38,
136,0.4,0.39,
137,0.4,0.42,
138,0.4,0.37,
139,0.4,0.435,
140,0.4,0.415,
141,0.4,0.33,
142,0.4,0.45,
143,0.4,0.405,
144,0.4,0.415,
145,0.4,0.4,
146,0.4,0.405,
147,0.4,0.38,
148,0.4,0.385,
149,0.4,0.415,
150,0.4,0.47,
151,0.4,0.43,
152,0.4,0.36,
153,0.4,0.425,
154,0.4,0.355,
155,0.4,0.38,
156,0.4,0.41,
157,0.4,0.44,
158,0.4,0.38,
159,0.4,0.425,
160,0.4,0.395,
161,0.4,0.39,
162,0.4,0.36,
163,0.4,0.405,
164,0.4,0.435,
165,0.4,0.405,
166,0.4,0.375,
167,0.4,0.45,
168,0.4,0.41,
169,0.4,0.44,
170,0.4,0.415,
171,0.4,0.43,
172,0.4,0.39,
173,0.4,0.39,
174,0.4,0.385,
175,0.4,0.415,
176,0.4,0.415,
177,0.4,0.44,
178,0.4,0.435,
179,0.4,0.42,
180,0.4,0.4,
181,0.4,0.405,
182,0.4,0.41,
183,0.4,0.39,
184,0.4,0.345,
185,0.4,0.355,
186,0.4,0.355,
187,0.4,0.325,
188,0.4,0.43,
189,0.4,0.385,
190,0.4,0.365,
191,0.4,0.37,
192,0.4,0.44,
193,0.4,0.395,
194,0.4,0.395,
195,0.4,0.45,
196,0.4,0.425,
197,0.4,0.405,
198,0.4,0.395,
199,0.4,0.43,
200,0.4,0.365,
1,0.5,0.51,
2,0.5,0.495,
3,0.5,0.52,
4,0.5,0.54,
5,0.5,0.475,
6,0.5,0.54,
7,0.5,0.55,
8,0.5,0.515,
9,0.5,0.505,
10,0.5,0.49,
11,0.5,0.44,
12,0.5,0.495,
13,0.5,0.58,
14,0.5,0.535,
15,0.5,0.54,
16,0.5,0.455,
17,0.5,0.51,
18,0.5,0.525,
19,0.5,0.565,
20,0.5,0.525,
21,0.5,0.53,
22,0.5,0.535,
23,0.5,0.54,
24,0.5,0.5,
25,0.5,0.505,
26,0.5,0.525,
27,0.5,0.485,
28,0.5,0.575,
29,0.5,0.535,
30,0.5,0.46,
31,0.5,0.515,
32,0.5,0.48,
33,0.5,0.545,
34,0.5,0.51,
35,0.5,0.465,
36,0.5,0.485,
37,0.5,0.465,
38,0.5,0.465,
39,0.5,0.525,
40,0.5,0.525,
41,0.5,0.55,
42,0.5,0.505,
43,0.5,0.555,
44,0.5,0.47,
45,0.5,0.45,
46,0.5,0.465,
47,0.5,0.48,
48,0.5,0.535,
49,0.5,0.45,
50,0.5,0.435,
51,0.5,0.56,
52,0.5,0.48,
53,0.5,0.54,
54,0.5,0.45,
55,0.5,0.595,
56,0.5,0.465,
57,0.5,0.52,
58,0.5,0.565,
59,0.5,0.495,
60,0.5,0.515,
61,0.5,0.495,
62,0.5,0.53,
63,0.5,0.44,
64,0.5,0.525,
65,0.5,0.465,
66,0.5,0.535,
67,0.5,0.5,
68,0.5,0.485,
69,0.5,0.535,
70,0.5,0.48,
71,0.5,0.485,
72,0.5,0.505,
73,0.5,0.49,
74,0.5,0.515,
75,0.5,0.56,
76,0.5,0.48,
77,0.5,0.47,
78,0.5,0.475,
79,0.5,0.51,
80,0.5,0.53,
81,0.5,0.48,
82,0.5,0.5,
83,0.5,0.48,
84,0.5,0.53,
